1. Cognitive system ;" Anything that takes input from the environment and creates an output to effect that environment"
2. Environment ;" Effects the cognitive system through perception"
3. Perception;" The term for how a cognitive system gets it's input by transforming things from the environment to internal representations"
4. Action;" The term for the output that a cognitive system creates to effect the environment"
5. Distributed cognition ;" Multiple cognitive systems can come together to form a group which completes a task"
6. Cognition;" The manipulation or storage of representations like making reminders or your name"
7. How representations are stored in memory in animals, software, and distrib-"
uted systems? ;" Animals = long-term or short-term and in the brainSoftware = databases and symbolsDistributed system = paper, brain, disk, environment manipulation"
8. The different ways to describe memory ;" Can be described as either biologically (location) or functionally (long-term vs. short-term)"
9. Sensory memory ;" Type of memory where new perceptions re-write it every few seconds"
10. Short term memory ;" Type of memory where it is stored for a temporary period of time before being forgotten or stored forever"
11. Long term memory ;" Type of memory that is stored forever"
12. Workspace model ;" Working memory is a buffer that shuffles memories pulling out certain memories when they are to be recalled, and it can hold about 4-5 memories at a time"
13. Declarative memory ;" Facts, events that have happened to you, your name, student number, etc."
14. Implicit memory ;" Procedural memory like to tie a shoe, play a video game, any sort of physical task, etc."
15. Implicit knowledge ;" Stuff that's hard to express like meeting someone and getting a bad feeling from them or that they are familiar"
16. What parts of the brain is short term to long term memories associated "
with?;" The hippocampus"
17. What parts of the brain is procedural memory associated with? ;" Cerebel-lum, basal ganglia, and the motor cortex"
18. Computer memory ;" Stored as a disk or flash memory"
19. Software memory ;" Stored as hash tables, schemata, frames, scripts, logical sentences, bitmaps, activation patterns, and weights in links"
20. What level of cognition are cognitive scientists most interested in? ;" The information level"
21. Memory in distributed systems ;" Books, brains, fingers, notes, arrows, signs, etc."
22. What is learning? ;" Changing memory with the purpose of preparing a system for better action in the future"
23. Habituation;" A style of learning where the diminution of a behavioural response is seen with repeated stimulation. Decreasing sensitivity to specific stimulation or in other words you stop noticing something."
24. Sensitization ;" A style of learning where a behavioural response is amplified by repeated exposure to a stimulus."
25. Classical conditioning ;" A type of learning where the subject learns to associate 2 previously unrelated stimuli with one another. Ex. Pavlov's dogs learning to salivate at the sound of a bell because they knew that meant food would follow."
26. Testimonial learning ;" A style of learning where factual information is gained through someone telling you it like in a textbook, prof, a friend, etc."
27. Operant conditioning ;" A style of learning where either a positive or a negative stimulus is either added or removed to elicit a desired behaviour that becomes learned"
28. What does reinforcement indicate in operant conditioning? ;" Encouraging behaviour"
29. What does punishment indicate in operant conditioning? ;" Discouraging a behaviour"
30. What does positive indicate in operant conditioning? ;" To add something"
31. What does negative indicate in operant conditioning? ;" To remove something"
32. Positive reinforcement ;" The strongest style of operant conditioning where a behaviour is encouraged by adding a reward"
33. Negative reinforcement ;" A style of operant conditioning where a behaviour is encouraged by removing a stimulus"
34. Positive punishment ;" A style of operant conditioning where a behaviour is discouraged by adding a stimulus"
35. Negative punishment ;" A style of operant conditioning where a behaviour is discouraged by removing a positive sitmulus"
36. Practice;" The process of doing something over and over again to learn how to do it better. Play is theorized to be type of practice."
37. Automotization ;" When motor skills become instinct due to practice"
38. Imprinting;" A style of learning that is time-sensitive. This a rare kind of learning where a certain specifies will latch onto the first thing it sees"
39. Observational learning ;" A style of learning that happens by observing another individual so something. Much of enculturation is this style."
40. Enculturation/imitation ;" Cultural learning, when an environment changes quickly"
41. Reasoning or inference ;" Getting facts by figuring them out, not a form of learning"
42. Genetic learning ;" Evolves over time as environments change slowly"
43. Content bias ;" Imitate the best idea"
44. Prestige bias ;" Imitate the most successful"
